scopeid|id|name|postcode|website|wda_id
34_montpellier|22|Lavérune|34880|http://www.laverune.fr|6432532
34_montpellier|17|Le Crès|34920|http://www.ville-lecres.fr/|6456840
34_montpellier|39|Mauguio|34130|http://www.mauguio-carnon.com|6432549
34_montpellier|23|Montaud|34160|https://www.montaud34.fr/|6432555
34_montpellier|9|Montferrier-sur-Lez|34980|http://ville-montferrier-sur-lez.fr|6432559
34_montpellier|4|Montpellier|34000|http://www.montpellier-tourisme.fr/|6454034
34_montpellier|24|Murviel-lès-Montpellier|34570|http://www.murviel.fr/|6432566
34_montpellier|40|Palavas-les-Flots|34250|http://www.palavaslesflots.com|6432577
34_montpellier|25|Pérols|34470|http://www.ville-perols.fr|6432583
34_montpellier|26|Pignan|34570|http://www.pignan.fr|6432586
34_montpellier|27|Prades-le-Lez|34730|http://www.prades-le-lez.fr|6432595
34_montpellier|28|Restinclières|34160|http://www.restinclieres.com|6432604
34_montpellier|38|Saint-Aunès|34130|http://www.saint-aunes.fr|6432615
34_montpellier|29|Saint-Brès|34670|https://www.ville-saintbres.fr|6432095
34_montpellier|42|Saint-Clément-de-Rivière|34980|http://www.saint-clement-de-riviere.com|6616593
34_montpellier|30|Saint-Drézéry|34160|http://www.saintdrezery.fr|6432621
34_montpellier|47|Saint-Gély-du-Fesc|34980|http://www.ville-saintgelydufesc.fr/|6432627
34_montpellier|31|Saint-Geniès-des-Mourgues|34160|http://www.saintgeniesdesmourgues.fr|6432628
34_montpellier|32|Saint-Georges-d'Orques|34680|http://www.ville-st-georges-dorques.fr/index.php|6432630
34_montpellier|33|Saint-Jean-de-Védas|34430|http://www.saintjeandevedas.fr|6432641
34_montpellier|46|Saint-Mathieu-de-Tréviers|34270|http://www.mairie-saint-mathieu-de-treviers.net/|6432644
34_montpellier|34|Saussan|34570|http://www.saussan-herault.fr/actualites-a-la-une/|6432656
34_montpellier|35|Sussargues|34160|http://www.ville-sussargues.fr|6432666
34_montpellier|41|Teyran|34820|http://www.ville-teyran.fr|6432668
34_montpellier|7|Vendargues|34740|http://www.vendargues.fr|6432680
34_montpellier|37|Villeneuve-lès-Maguelone|34750|http://www.villeneuvelesmaguelone.fr/|6616603
44_nantesmetropole|6|Basse-Goulaine|44115|basse-goulaine.fr|6614104
44_nantesmetropole|7|Bouaye|44830|bouaye.fr|6449073
44_nantesmetropole|8|Bouguenais|44340|ville-bouguenais.fr|6449075
44_nantesmetropole|9|Brains|44830|mairie-brains.fr|6455116
44_nantesmetropole|10|Carquefou|44470|carquefou.fr|6449079
44_nantesmetropole|11|Couëron|44220|ville-coueron.fr|6449087
44_nantesmetropole|12|Indre|44610|indre44.fr|6616810
44_nantesmetropole|13|La Chapelle-sur-Erdre|44240|lachapellesurerdre.fr|6456914
44_nantesmetropole|14|La Montagne|44620|ville-lamontagne.fr|6456021
44_nantesmetropole|5|Le Pellerin|44640|ville-lepellerin.fr|6456023
44_nantesmetropole|15|Les Sorinières|44840|ville-sorinieres.fr|6456030
44_nantesmetropole|16|Mauves-sur-Loire|44470|mauvessurloire.fr|6449119
44_nantesmetropole|2|Nantes|44000|nantes.fr|6434483
44_nantesmetropole|17|Orvault|44700|orvault.fr|6434487
44_nantesmetropole|18|Rezé|44400|reze.fr|6454153
44_nantesmetropole|19|Saint-Aignan-Grandlieu|44860|saint-aignan-grandlieu.fr|6616812
44_nantesmetropole|29|Saint-Étienne-de-Montluc|44360|www.st-etienne-montluc.net|6434511
44_nantesmetropole|20|Saint-Herblain|44800|saint-herblain.fr|6434515
44_nantesmetropole|21|Saint-Jean-de-Boiseau|44640|saint-jean-de-boiseau.fr|6434519
44_nantesmetropole|28|Saint-Julien-de-Concelles|44450|www.saintjuliendeconcelles.fr|6434521
44_nantesmetropole|22|Saint-Léger-les-Vignes|44710|mairie-saintlegerlesvignes.fr|6434523
44_nantesmetropole|23|Saint-Sébastien-sur-Loire|44230|saintsebastien.fr|6434540
44_nantesmetropole|24|Sainte-Luce-sur-Loire|44980|sainte-luce-loire.com|6434524
44_nantesmetropole|25|Sautron|44880|sautron.fr|6434543
44_nantesmetropole|26|Thouaré-sur-Loire|44470|thouare.fr|6434549
44_nantesmetropole|30|Treillières|44119|www.treillieres.fr|6434553
44_nantesmetropole|27|Vertou|44120|vertou.fr|6434558
91_parissaclay|1|Ballainvilliers|91160|""|6451949
91_parissaclay|2|Bures-sur-Yvette|91440|""|6446113
91_parissaclay|3|Champlan|91160|""|6446118
91_parissaclay|4|Chilly-Mazarin|91380|""|6446124
91_parissaclay|5|Épinay-sur-Orge|91360|""|6446135
91_parissaclay|6|Gif-sur-Yvette|91190|""|6446143
91_parissaclay|7|Gometz-le-Châtel|91940|""|6446145
91_parissaclay|8|Igny|91430|""|6441977
91_parissaclay|9|La Ville-du-Bois|91620|""|6456633
91_parissaclay|10|Les Ulis|91940|""|6455394
91_parissaclay|11|Linas|91310|""|6446158
91_parissaclay|12|Longjumeau|91160|""|6446160
91_parissaclay|13|Marcoussis|91460|""|6446163
91_parissaclay|14|Massy|91300|""|6443324
91_parissaclay|15|Montlhéry|91310|""|6446174
91_parissaclay|16|Nozay|91620|""|6426496
91_parissaclay|17|Orsay|91400|""|6454880
91_parissaclay|18|Palaiseau|91120|""|6446184
91_parissaclay|19|Saclay|91400|""|6446196
91_parissaclay|20|Saint-Aubin|91190|""|6426547
91_parissaclay|21|Saulx-les-Chartreux|91160|""|6446208
91_parissaclay|22|Vauhallan|91430|""|6446217
91_parissaclay|23|Verrières-le-Buisson|91370|""|6446218
91_parissaclay|24|Villebon-sur-Yvette|91140|""|6446224
91_parissaclay|25|Villejust|91140|""|6446226
91_parissaclay|26|Villiers-le-Bâcle|91190|""|6446229
91_parissaclay|27|Wissous|91320|""|6446232
24_AggloPgx|14|Agonac|24460|https://www.agonac.fr/|6452197
24_AggloPgx|19|Annesse-et-Beaulieu|24430|http://www.annesse-et-beaulieu.fr/|6447742
24_AggloPgx|20|Antonne-et-Trigonant|24420|https://www.antonne-trigonant.com/|6447743
24_AggloPgx|7|Bassillac et Auberoche|24330|http://www.commune-bassillac.fr/|6447756
24_AggloPgx|3|Boulazac Isle Manoire|24750|https://www.boulazacislemanoire.fr/|6616146
24_AggloPgx|44|Bourrou|24110|""|6447781
24_AggloPgx|30|Chalagnac|24380|http://chalagnac.fr/|6447802
24_AggloPgx|10|Champcevinel|24750|https://www.champcevinel.fr/|6447804
24_AggloPgx|8|Chancelade|24650|http://www.chancelade.fr/|6429331
24_AggloPgx|12|Château-l'Évêque|24460|https://chateauleveque.sitego.fr/|6429335
24_AggloPgx|26|Cornille|24750|https://www.mairie-cornille.fr/|6429349
24_AggloPgx|4|Coulounieix-Chamiers|24660|https://www.coulounieix-chamiers.fr/|6429352
24_AggloPgx|13|Coursac|24430|http://www.coursac.fr/|6429353
24_AggloPgx|38|Creyssensac-et-Pissot|24380|""|6429359
24_AggloPgx|29|Église-Neuve-de-Vergt|24380|https://www.eglise-neuve-de-vergt.fr/|6429369
24_AggloPgx|31|Escoire|24420|http://www.escoire.fr/|6429371
24_AggloPgx|40|Fouleix|24380|http://www.fouleix.fr/|6429389
24_AggloPgx|42|Grun-Bordas|24380|https://mairie-de-grun-bordas.jimdofree.com/|6616159
24_AggloPgx|22|La Chapelle-Gonaguet|24350|http://www.lachapellegonaguet.fr/|6455692
24_AggloPgx|21|La Douze|24330|http://www.ladouze.fr/|6455699
24_AggloPgx|27|Lacropte|24380|http://www.lacropte.fr/|6429409
24_AggloPgx|28|Manzac-sur-Vern|24110|http://www.manzacsurvern.fr/|6429425
24_AggloPgx|9|Marsac-sur-l'Isle|24430|http://www.marsacsurlisle.fr/|6616168
24_AggloPgx|18|Mensignac|24350|https://www.mensignac.fr/|6429436
24_AggloPgx|34|Paunat|24510|http://www.paunat.fr/|6429475
24_AggloPgx|2|Périgueux|24000|https://perigueux.fr/|6429478
24_AggloPgx|11|Razac-sur-l'Isle|24430|http://www.razac-sur-lisle.fr/|6429499
24_AggloPgx|41|Saint-Amand-de-Vergt|24380|""|6429506
24_AggloPgx|32|Saint-Crépin-d'Auberoche|24330|http://www.saint-crepin-dauberoche.fr/|6429528
24_AggloPgx|43|Saint-Geyrac|24330|http://www.saint-geyrac.net/|6429554
24_AggloPgx|35|Saint-Mayme-de-Péreyrol|24380|http://www.saint-mayme-de-pereyrol.fr/|6616188
24_AggloPgx|33|Saint-Michel-de-Villadeix|24380|""|6429593
24_AggloPgx|36|Saint-Paul-de-Serre|24380|https://www.saintpauldeserre.fr/|6429603
24_AggloPgx|25|Saint-Pierre-de-Chignac|24330|http://www.stpierredechignac.notremairie.fr/|6429607
24_AggloPgx|37|Salon|24380|""|6429634
24_AggloPgx|6|Sanilhac|246600|http://www.sanilhac-perigord.fr/|6425856
24_AggloPgx|23|Sarliac-sur-l'Isle|24420|https://www.sarliac.fr/|6429637
24_AggloPgx|24|Savignac-les-Églises|24420|http://www.mairiesavignacleseglises.com/|6429642
24_AggloPgx|17|Sorges et Ligueux en Périgord|24420|https://www.sorges-perigord.com/|6429651
24_AggloPgx|5|Trélissac|24750|https://www.ville-trelissac.fr/|6429663
24_AggloPgx|16|Val de Louyre et Caudeau|24510|https://www.valdelouyre-et-caudeau.fr/|6616179
24_AggloPgx|15|Vergt|24380|https://vergt-perigord.fr/fr/|6453838
24_AggloPgx|39|Veyrines-de-Vergt|24380|http://www.veyrines-de-vergt.fr/|6429680
38_SMVIC|3|Chatte|38160|""|6448758
38_SMVIC|5|Murinais|38160|""|6433262
38_SMVIC|1|Saint-Marcellin|38160|""|6454092
38_SMVIC|2|Saint-Sauveur|38160|""|6436850
38_SMVIC|4|Saint-Vérand|38160|""|6617539
22_SBAA|2|Binic-Étables-sur-Mer|22680|http://www.binic-etables-sur-mer.fr/|6616108
22_SBAA|3|Hillion|22120|http://hillioninfos.over-blog.com|6447671
22_SBAA|4|La Harmoye|22320|""|6456764
22_SBAA|5|La Méaugon|22440|http://www.lameaugon.fr|6455671
22_SBAA|6|Lanfains|22800|http://www.lanfains.fr|6615061
22_SBAA|7|Langueux|22360|http://www.langueux.fr|6428990
22_SBAA|8|Lantic|22410|""|6428999
22_SBAA|9|Le Bodéo|22320|""|6457208
22_SBAA|10|Le Fœil|0|""|6615060
22_SBAA|11|Le Leslay|0|""|6455669
22_SBAA|12|Le Vieux-Bourg|0|""|6455678
22_SBAA|13|Plaine-Haute|22800|""|6429034
22_SBAA|14|Plaintel|0|""|6429035
22_SBAA|15|Plédran|22960|https://www.pledran.bzh|6429039
22_SBAA|16|Plérin|0|""|6453802
