date,cases,recovered,deaths,ratio_cases,ratio_recovered,ratio_deaths,LOC_ID,country_region,province_state,lat,long,zone,population
2020-01-22,0,NULL,0,0.0,NULL,0.0,12410,Canada,Quebec,52.9399,-73.5491,state,8537674
2020-01-22,0,NULL,0,NULL,NULL,NULL,12415,Canada,Recovered,"","",state,""
2020-01-22,0,NULL,0,0.0,NULL,0.0,12411,Canada,Saskatchewan,52.9399,-106.4509,state,1181666
2020-01-22,0,NULL,0,0.0,NULL,0.0,12412,Canada,Yukon,64.2823,-135.0,state,41078
2020-01-22,0,0,0,0.0,0.0,0.0,140,"Central African Republic","",6.6111,20.9394,country,4829764
2020-01-22,0,0,0,0.0,0.0,0.0,148,Chad,"",15.4542,18.7322,country,16425859
2020-01-22,0,0,0,0.0,0.0,0.0,152,Chile,"",-35.6751,-71.543,country,19116209
2020-01-22,1,0,0,0.0,0.0,0.0,15601,China,Anhui,31.8257,117.2264,state,63240000
2020-01-22,14,0,0,1.0e-06,0.0,0.0,15602,China,Beijing,40.1824,116.4142,state,21540000
2020-01-22,6,0,0,0.0,0.0,0.0,15603,China,Chongqing,30.0572,107.874,state,31020000
2020-01-22,1,0,0,0.0,0.0,0.0,15604,China,Fujian,26.0789,117.9874,state,39410000
2020-01-22,0,0,0,0.0,0.0,0.0,15605,China,Gansu,37.8099,101.0583,state,26370000
2020-01-22,26,0,0,0.0,0.0,0.0,15606,China,Guangdong,23.3417,113.4244,state,113460000
2020-01-22,2,0,0,0.0,0.0,0.0,15607,China,Guangxi,23.8298,108.7881,state,49260000
2020-01-22,1,0,0,0.0,0.0,0.0,15608,China,Guizhou,26.8154,106.8748,state,36000000
2020-01-22,4,0,0,0.0,0.0,0.0,15609,China,Hainan,19.1959,109.7453,state,9340000
2020-01-22,1,0,0,0.0,0.0,0.0,15610,China,Hebei,39.549,116.1306,state,75560000
2020-01-22,0,0,0,0.0,0.0,0.0,15611,China,Heilongjiang,47.862,127.7615,state,37730000
2020-01-22,5,0,0,0.0,0.0,0.0,15612,China,Henan,33.882,113.614,state,96050000
2020-01-22,0,0,0,0.0,0.0,0.0,344,China,"Hong Kong",22.3,114.2,state,7496988
2020-01-22,444,28,17,8.0e-06,0.0,0.0,15613,China,Hubei,30.9756,112.2707,state,59170000
2020-01-22,4,0,0,0.0,0.0,0.0,15614,China,Hunan,27.6104,111.7088,state,68990000
2020-01-22,0,0,0,0.0,0.0,0.0,15615,China,"Inner Mongolia",44.0935,113.9448,state,25340000
2020-01-22,1,0,0,0.0,0.0,0.0,15616,China,Jiangsu,32.9711,119.455,state,80510000
2020-01-22,2,0,0,0.0,0.0,0.0,15617,China,Jiangxi,27.614,115.7221,state,46480000
2020-01-22,0,0,0,0.0,0.0,0.0,15618,China,Jilin,43.6661,126.1923,state,27040000
2020-01-22,2,0,0,0.0,0.0,0.0,15619,China,Liaoning,41.2956,122.6085,state,43590000
2020-01-22,1,0,0,2.0e-06,0.0,0.0,446,China,Macau,22.1667,113.55,state,649342
2020-01-22,1,0,0,0.0,0.0,0.0,15620,China,Ningxia,37.2692,106.1655,state,6880000
2020-01-22,0,0,0,0.0,0.0,0.0,15621,China,Qinghai,35.7452,95.9956,state,6030000
2020-01-22,0,0,0,0.0,0.0,0.0,15622,China,Shaanxi,35.1917,108.8701,state,38640000
2020-01-22,2,0,0,0.0,0.0,0.0,15623,China,Shandong,36.3427,118.1498,state,100470000
2020-01-22,9,0,0,0.0,0.0,0.0,15624,China,Shanghai,31.202,121.4491,state,24240000
2020-01-22,1,0,0,0.0,0.0,0.0,15625,China,Shanxi,37.5777,112.2922,state,37180000
2020-01-22,5,0,0,0.0,0.0,0.0,15626,China,Sichuan,30.6171,102.7103,state,83410000
2020-01-22,4,0,0,0.0,0.0,0.0,15627,China,Tianjin,39.3054,117.323,state,15600000
2020-01-22,0,0,0,0.0,0.0,0.0,15628,China,Tibet,31.6927,88.0924,state,3440000
2020-01-22,0,0,0,0.0,0.0,0.0,15629,China,Xinjiang,41.1129,85.2401,state,24870000
2020-01-22,1,0,0,0.0,0.0,0.0,15630,China,Yunnan,24.974,101.487,state,48300000
2020-01-22,10,0,0,0.0,0.0,0.0,15631,China,Zhejiang,29.1832,120.0934,state,57370000
2020-01-22,0,0,0,0.0,0.0,0.0,170,Colombia,"",4.5709,-74.2973,country,50882884
2020-01-22,0,0,0,0.0,0.0,0.0,174,Comoros,"",-11.6455,43.3333,country,869595
2020-01-22,0,0,0,0.0,0.0,0.0,178,"Congo (Brazzaville)","",-4.2634,15.2832,country,5518092
2020-01-22,0,0,0,0.0,0.0,0.0,180,"Congo (Kinshasa)","",-4.322447,15.307045,country,89561404
2020-01-22,0,0,0,0.0,0.0,0.0,188,"Costa Rica","",9.7489,-83.7534,country,5094114
2020-01-22,0,0,0,0.0,0.0,0.0,384,"Cote d'Ivoire","",7.54,-5.5471,country,26378275
2020-01-22,0,0,0,0.0,0.0,0.0,191,Croatia,"",45.1,15.2,country,4105268
2020-01-22,0,0,0,0.0,0.0,0.0,192,Cuba,"",21.521757,-77.781167,country,11326616
2020-01-22,0,0,0,0.0,0.0,0.0,196,Cyprus,"",35.1264,33.4299,country,1207361
2020-01-22,0,0,0,0.0,0.0,0.0,203,Czechia,"",49.8175,15.473,country,10708982
2020-01-22,0,0,0,0.0,0.0,0.0,208,Denmark,"",56.2639,9.5018,country,5792203
2020-01-22,0,0,0,0.0,0.0,0.0,234,Denmark,"Faroe Islands",61.8926,-6.9118,state,48865
2020-01-22,0,0,0,0.0,0.0,0.0,304,Denmark,Greenland,71.7069,-42.6043,state,56772
2020-01-22,0,0,0,NULL,NULL,NULL,9999,"Diamond Princess","",0.0,0.0,country,""
