# Generated by https://github.com/badele/world-datas-analysis
# Version: 1.0
# Query: select GEOID, iso3, country, capital, continentname,  population FROM v_geonames_country ORDER BY continentname, population DESC LIMIT 10000;
# Source: https://download.geonames.org/export/dump/
# Grouped by continent

# columns: [[0, 7], [9, 15], [17, 61], [63, 83], [85, 100], [102, 114]]

# continentname=Africa
  GEOID  iso3    country                                       capital               continentname      population
1527747  KGZ     Kyrgyzstan                                    Bishkek               Asia                  6315800
1218197  TKM     Turkmenistan                                  Ashgabat              Asia                  5850908
1880251  SGP     Singapore                                     Singapur              Asia                  5638676
 286963  OMN     Oman                                          Muscat                Asia                  4829483
6254930  PSE     Palestinian Territory                         East Jerusalem        Asia                  4569087
 285570  KWT     Kuwait                                        Kuwait City           Asia                  4137309
 614540  GEO     Georgia                                       Tbilisi               Asia                  3731000
2029969  MNG     Mongolia                                      Ulan Bator            Asia                  3170208
 174982  ARM     Armenia                                       Yerevan               Asia                  2951776
 289688  QAT     Qatar                                         Doha                  Asia                  2781677
 290291  BHR     Bahrain                                       Manama                Asia                  1569439
1252634  BTN     Bhutan                                        Thimphu               Asia                   754394
1821275  MAC     Macao                                         Macao                 Asia                   631636
1282028  MDV     Maldives                                      Male                  Asia                   515696
1820814  BRN     Brunei                                        Bandar Seri Begawan   Asia                   428962
1282588  IOT     British Indian Ocean Territory                Diego Garcia          Asia                     4000
2078138  CXR     Christmas Island                              Flying Fish Cove      Asia                     1500
1547376  CCK     Cocos Islands                                 West Island           Asia                      628


# continentname=Europe

2017370  RUS     Russia                                        Moscow                Europe              144478050
2921044  DEU     Germany                                       Berlin                Europe               82927922
3017382  FRA     France                                        Paris                 Europe               66987244
2635167  GBR     United Kingdom                                London                Europe               66488991
3175395  ITA     Italy                                         Rome                  Europe               60431283
2510769  ESP     Spain                                         Madrid                Europe               46723749
 690791  UKR     Ukraine                                       Kiev                  Europe               44622516
 798544  POL     Poland                                        Warsaw                Europe               37978548
 798549  ROU     Romania                                       Bucharest             Europe               19473936
2750405  NLD     Netherlands                                   Amsterdam             Europe               17231017
2802361  BEL     Belgium                                       Brussels              Europe               11422068
 390903  GRC     Greece                                        Athens                Europe               10727668
3077311  CZE     Czech Republic                                Prague                Europe               10625695
2264397  PRT     Portugal                                      Lisbon                Europe               10281762
2661886  SWE     Sweden                                        Stockholm             Europe               10183175
 719819  HUN     Hungary                                       Budapest              Europe                9768785
 630336  BLR     Belarus                                       Minsk                 Europe                9485386
2782113  AUT     Austria                                       Vienna                Europe                8847037
2658434  CHE     Switzerland                                   Berne                 Europe                8516543
 732800  BGR     Bulgaria                                      Sofia                 Europe                7000039
6290252  SRB     Serbia                                        Belgrade              Europe                6982084
2623032  DNK     Denmark                                       Copenhagen            Europe                5797446
 660013  FIN     Finland                                       Helsinki              Europe                5518050
3057568  SVK     Slovakia                                      Bratislava            Europe                5447011
3144096  NOR     Norway                                        Oslo                  Europe                5314336
2963597  IRL     Ireland                                       Dublin                Europe                4853506
3202326  HRV     Croatia                                       Zagreb                Europe                4089400
 617790  MDA     Moldova                                       Chisinau              Europe                3545883
3277605  BIH     Bosnia and Herzegovina                        Sarajevo              Europe                3323929
 783754  ALB     Albania                                       Tirana                Europe                2866376
 597427  LTU     Lithuania                                     Vilnius               Europe                2789533
 718075  MKD     Macedonia                                     Skopje                Europe                2082958
3190538  SVN     Slovenia                                      Ljubljana             Europe                2067372
 458258  LVA     Latvia                                        Riga                  Europe                1926542
 831053  XKX     Kosovo                                        Pristina              Europe                1845300
 453733  EST     Estonia                                       Tallinn               Europe                1320884
 146669  CYP     Cyprus                                        Nicosia               Europe                1189265
3194884  MNE     Montenegro                                    Podgorica             Europe                 622345
2960313  LUX     Luxembourg                                    Luxembourg            Europe                 607728
2562770  MLT     Malta                                         Valletta              Europe                 483530
2629691  ISL     Iceland                                       Reykjavik             Europe                 353574
3042142  JEY     Jersey                                        Saint Helier          Europe                  90812
3042225  IMN     Isle of Man                                   Douglas, Isle of Man  Europe                  84077
3041565  AND     Andorra                                       Andorra la Vella      Europe                  77006
3042362  GGY     Guernsey                                      St Peter Port         Europe                  65228
2622320  FRO     Faroe Islands                                 Torshavn              Europe                  48497
2993457  MCO     Monaco                                        Monaco                Europe                  38682
3042058  LIE     Liechtenstein                                 Vaduz                 Europe                  37910
3168068  SMR     San Marino                                    San Marino            Europe                  33785
2411586  GIB     Gibraltar                                     Gibraltar             Europe                  33718
 661882  ALA     Aland Islands                                 Mariehamn             Europe                  26711
 607072  SJM     Svalbard and Jan Mayen                        Longyearbyen          Europe                   2550
3164670  VAT     Vatican                                       Vatican City          Europe                    921
7909808  SCG     Serbia and Montenegro                         Belgrade              Europe                      0


# continentname=North America

6252001  USA     United States                                 Washington            North America       327167434
3996063  MEX     Mexico                                        Mexico City           North America       126190788
6251999  CAN     Canada                                        Ottawa                North America        37058856
3595528  GTM     Guatemala                                     Guatemala City        North America        17247807
3562981  CUB     Cuba                                          Havana                North America        11338138
3723988  HTI     Haiti                                         Port-au-Prince        North America        11123176
