# colnames: provider,real_provider,dataset,max_variables,nb_sobservations,max_scope
# width: 11,44,181,16,19,12
provider   real_provider                               dataset                                                                                                                                                                              max_variables   nb_sobservations   max_scope   
owid       owid                                        Absolute population change - OWID based on HYDE & UN                                                                                                                                             1              12100           1
owid       owid                                        Access to financial account or services (%) - World Bank (2014)                                                                                                                                  1                435         163
owid       owid                                        Active tuberculosis - IHME (2017)                                                                                                                                                                1              12936         231
owid       owid                                        Active vs latent tuberculosis prevalence - IHME (2016)                                                                                                                                           1              18468         228
owid       owid                                        Adjusted net savings per capita (World Bank WDI (2017))                                                                                                                                          1               4675         166
owid       owid                                        Adult literacy proficiency - World Bank EdStats and STEP Skills Measurement Program                                                                                                              1                 38          38
owid       owid                                        Affordability of diets (SOFI, 2021)                                                                                                                                                              1               2436         175
owid       owid                                        Age of democracies at the end of 2015 (Boix, Miller, and Rosato, 2013, 2018)                                                                                                                     1                195         195
owid       owid                                        Age-adjusted female suicide rates, 1950-2005 - WHO (2005)                                                                                                                                        1               2504         195
owid       owid                                        Age-adjusted male suicide rates, 1950-2005 - WHO (2005)                                                                                                                                          1               2508         195
owid       owid                                        Age-adjusted suicide rates, 1950-2005 - WHO (2005)                                                                                                                                               1               2843         196
owid       owid                                        Age-standardised death rates from air pollution (per 100,000)- IHME GBD SDG indicators                                                                                                           1               1116         186
owid       owid                                        Agricultural land use per capita (FAO, 2021)                                                                                                                                                     1              26674         252
owid       owid                                        Agricultural policy support - (Agrimonitor, 2017)                                                                                                                                                1                225          18
owid       owid                                        Agricultural total factor productivity (USDA)                                                                                                                                                    1             132740         219
owid       owid                                        Agriculture in England 1270-1870 - Bank of England (2017)                                                                                                                                        1               2890           1
owid       owid                                        Air Pollutant Emissions - OECD                                                                                                                                                                   1               3468          33
owid       owid                                        Air pollution by city - Fouquet and DPCC (2011)                                                                                                                                                  1                331           2
owid       owid                                        Air pollution deaths breakdown by age - IHME                                                                                                                                                     1              52598         221
owid       owid                                        Air pollution sources in the UK - DEFRA                                                                                                                                                          1                 62           6
owid       owid                                        Air travel trips per capita (Airbus, 2019)                                                                                                                                                       1                402         201
owid       owid                                        Alcohol consumption by type since 1890 (Alexander & Holmes, 2017)                                                                                                                                1                198          16
owid       owid                                        Alcohol consumption in USA since 1850 -- NIAAA                                                                                                                                                   1                282           1
owid       owid                                        Alcohol consumption since 1890 (Alexander & Holmes, 2017)                                                                                                                                        1                121          17
owid       owid                                        Alcohol expenditure in the USA long-term (USDA, 2018)                                                                                                                                            1                480           1
owid       owid                                        Animal home range size and body mass (McCauley et al. 2015)                                                                                                                                      1               2508         836
owid       owid                                        Annual Working Hours - OWID (2020)                                                                                                                                                               1               3470          71
owid       owid                                        Annual deaths averted by PCV13- Chen et al., The Lancet Global Health (2019)                                                                                                                     1                  7           7
owid       owid                                        Antenatal care coverage (%)- WHO (2019)                                                                                                                                                          1                702         154
owid       owid                                        Antibiotic use in livestock - European Commission & Van Boeckel et al.                                                                                                                           1                291         156
owid       owid                                        Antibiotic use in livestock 2030 - Boeckel et al. (2017)                                                                                                                                         1                  6           6
owid       owid                                        Antidepressant consumption per capita (OECD, 2021)                                                                                                                                               1                253          29
owid       owid                                        Arable land per crop output (PIN) (FAO, 2019)                                                                                                                                                    1              11280         209
owid       owid                                        Archaeological land use (Stephens et al. 2019)                                                                                                                                                   1               8638         158
owid       owid                                        Armed forces personnel (% of total population) - World Bank (2017)                                                                                                                               1               5738         219
owid       owid                                        Attainable yields (Mueller et al. 2012)                                                                                                                                                          1              15001         154
owid       owid                                        Attitudes to Vaccines - Wellcome Trust (2019)                                                                                                                                                    1               1290         163
owid       owid                                        Average effective age of retirement, by gender (OECD, 2018)                                                                                                                                      1               4306          51
owid       owid                                        Average farm size (Lowder et al. 2016)                                                                                                                                                           1                469         108
owid       owid                                        Average federal tax rates, by before-tax income group - CBO (2021)                                                                                                                               1                160           1
owid       owid                                        Average harmonised learning outcome score (2005-2015) - Altinok, Angrist, and Patrinos (2018)                                                                                                    1                129         129
owid       owid                                        Average monthly incomes or consumption by decile and quintile - PovcalNet (2019)                                                                                                                 1               1676         176
owid       owid                                        Aviation accidents and fatalities by flight phase (ASN, 2019)                                                                                                                                    1                770           1
owid       owid                                        Aviation passenger kilometres and CO2 emissions (ICCT)                                                                                                                                           1               2200         108
owid       owid                                        Basic reading and maths skills - World Development Report (2018)                                                                                                                                 1                 12          12
owid       owid                                        Biodiversity habitat loss (Williams et al. 2021)                                                                                                                                                 1               2531         256
owid       owid                                        Biomass and taxa abundance (Bar-On et al. 2018)                                                                                                                                                  1                 33          17
owid       owid                                        Births outside of marriage                                                                                                                                                                       1               1875          42
owid       owid                                        Books - Buringh and Van Zanden (2009)                                                                                                                                                            1                299          14
owid       owid                                        Bribe payers index (Transparency International - GCB (2013)) (split)                                                                                                                             1                 44          22
owid       owid                                        Burden of Depressive Disorders - Ferrari et al. (2013)                                                                                                                                           1                209         209
owid       owid                                        Butterfly Index in Europe (EEA)                                                                                                                                                                  1                 56           1
owid       owid                                        Butterfly population and distribution in Netherlands                                                                                                                                             1                 60           1
owid       owid                                        CFC-11 expected and measured concentrations (Montzka et al. 2018)                                                                                                                                1                 77           1
owid       owid                                        CFC-11 expected and measured rate of change (Montzka et al. 2018)                                                                                                                                1                 46           1
owid       owid                                        CH4 concentration (EEA & NOAA (2019))                                                                                                                                                            1                 87           1
owid       owid                                        CO2 concentrations - NOAA (2019)                                                                                                                                                                 1               1871           1
owid       owid                                        CO2 emission factors - IPCC (2006)                                                                                                                                                               1                 17          17
owid       owid                                        CO2 emissions by city - C40 Cities (2018)                                                                                                                                                        1                106          53
owid       owid                                        CO2 emissions by sector (CAIT, 2020)                                                                                                                                                             1              72978         195
owid       owid                                        CO2 intensity of transport by mode (UK BEIS)                                                                                                                                                     1                 78          39
owid       owid                                        CO2 mitigation curves for 1.5C (Andrews & GCP, 2019)                                                                                                                                             1               2644          28
owid       owid                                        CO2 mitigation curves for 2C (Andrews & GCP, 2019)                                                                                                                                               1               2791          30
owid       owid                                        COVID Government Response (OxBSG)                                                                                                                                                                1            2040694         186
owid       owid                                        COVID testing time series data                                                                                                                                                                   1             690524         212
owid       owid                                        COVID-19 - Israel: confirmed cases by age                                                                                                                                                        1                405           5
owid       owid                                        COVID-19 - Johns Hopkins University                                                                                                                                                              1            4699257         211
owid       owid                                        COVID-19 - Swedish Public Health Agency                                                                                                                                                          1                575           1
owid       owid                                        COVID-19 - United States vaccinations                                                                                                                                                            1             179963          65
owid       owid                                        COVID-19 - Vaccinations                                                                                                                                                                          1             291588         235
owid       owid                                        COVID-19 - Vaccinations by age group                                                                                                                                                             1              29805          30
owid       owid                                        COVID-19 - Vaccinations by manufacturer                                                                                                                                                          1              41208          38
owid       owid                                        COVID-19 - Vaccine inequality                                                                                                                                                                    1                266         133
owid       owid                                        COVID-19 - Variants                                                                                                                                                                              1              21208         106
owid       owid                                        COVID-19 - WHO vaccination goals                                                                                                                                                                 1                233         233
owid       owid                                        COVID-19 Johns Hopkins University                                                                                                                                                                1              62324         236
owid       owid                                        COVID-19 Model Estimates - ICL (2021)                                                                                                                                                            1             305988         193
owid       owid                                        COVID-19 Model Estimates - IHME (2021)                                                                                                                                                           1             288396         164
owid       owid                                        COVID-19 Model Estimates - LSHTM (2020)                                                                                                                                                          1              58662         161
owid       owid                                        COVID-19 Model Estimates - Youyang Gu (2020)                                                                                                                                                     1              48960          71
owid       owid                                        COVID-19 Testing data as of 20 Mar 2020 (approx. 18:00 GMT) (OWID)                                                                                                                               1                 77          77
owid       owid                                        COVID-19 vaccine dose donations to COVAX                                                                                                                                                         1                252          21
owid       owid                                        COVID-2019 - ECDC (2020)                                                                                                                                                                         1             484422         230
owid       owid                                        COVID-2019 - Hospital & ICU                                                                                                                                                                      1              68732          31
owid       owid                                        COVID-2019 - Johns Hopkins (2020)                                                                                                                                                                1              19380         170
owid       owid                                        COVID-2019 - WHO (2020)                                                                                                                                                                          1               3454         161
owid       owid                                        Caloric Coefficient of Variation (CV) - FAO Food Security Indicators (2017)                                                                                                                      1               2856         115
owid       owid                                        Calories lost by food group and region (WRI, 2013)                                                                                                                                               1                 21           7
owid       owid                                        Cancer death rates in the US over the long-term - American Cancer Society                                                                                                                        1               1148           1
owid       owid                                        Cancer deaths grouped - OWID based on IHME                                                                                                                                                       1             110700         205
owid       owid                                        Capital city population - UN Urbanization Prospects (2018)                                                                                                                                       1                232         232
owid       owid                                        Carbon Opportunity Costs by Food (Searchinger et al. 2018)                                                                                                                                       1                 48          48
owid       owid                                        Cardiovascular disease risk attributable deaths - GBD (2017)                                                                                                                                     1              98112         219
owid       owid                                        Caribbean reefs with acropora corals present (Cramer et al. 2020)                                                                                                                                1                 28           1
owid       owid                                        Cases of tetanus per million population (WHO and UNPD 2017) (split)                                                                                                                              1               7300         201
owid       owid                                        Causes of child death by sex in India (IHME, 2019)                                                                                                                                               1                 42          21
owid       owid                                        Causes of child mortality - IHME Global Burden of Disease study (2017)                                                                                                                           1                194          97
owid       owid                                        Causes of death vs. media coverage (Shen et al. 2018)                                                                                                                                            1                871          13
owid       owid                                        Causes of infant death in boys and girls (IHME, 2018)                                                                                                                                            1                 36          18
owid       owid                                        Cereal allocation to food, feed, fuel (OWID based on FAO)                                                                                                                                        1              65547         216
owid       owid                                        Cereal yield index - (World Bank (2017) & OWID)                                                                                                                                                  1              10422         193
owid       owid                                        Change in Global Hunger Index, 1992-2017 (listed 2017) (Global Hunger Index 2017)                                                                                                                1                 95          95
owid       owid                                        Change in marine mammal populations (Duarte et al. 2020)                                                                                                                                         1                 24           8
owid       owid                                        Chartbook of Economic Inequality, Gini (2016)                                                                                                                                                    1                651          25
owid       owid                                        Child Labor (World 1950-1995) - Basu (1999)                                                                                                                                                      1                  6           1
owid       owid                                        Child Labor (World ILO) - ILO (2017)                                                                                                                                                             1                 28           2
owid       owid                                        Child Labor Italy (historic) - Toniolo, G., & Vecchi, G. (2007)                                                                                                                                  1                 24           1
owid       owid                                        Child Labor UK (historic) - Cunningham, H. and Viazzo, P.P. (1996)                                                                                                                               1                 14           1
owid       owid                                        Child Labor in US - Economic History Association (2017)                                                                                                                                          1                  9           1
owid       owid                                        Child Labor in US - Long (1958)                                                                                                                                                                  1                 45           9
owid       owid                                        Child Marriage - UNICEF (2017)                                                                                                                                                                   1                123         123
owid       owid                                        Child Mortality Rates (Complete Gapminder, v10) (2017)                                                                                                                                           1              58447         215
owid       owid                                        Child Mortality Rates (Selected Gapminder, v10) (2017)                                                                                                                                           1              13512         211
owid       owid                                        Child deaths by life stage (OWID based on UN IGME)                                                                                                                                               1              28980         239
owid       owid                                        Child deaths by period in the first 5 years (IHME)                                                                                                                                               1              74228         241
owid       owid                                        Child mortality by cause and by early life stage- IHME, GBD (2017)                                                                                                                               1             228832         212
owid       owid                                        Child mortality, 1950-2017 (IHME, 2017)                                                                                                                                                          1               3136         224
owid       owid                                        Child violence - Ending Violence in Childhood Report (2017)                                                                                                                                      1                474         168
owid       owid                                        Childhood vaccination policies (Vanderslott et al. 2021)                                                                                                                                         1                228         204
owid       owid                                        Children that died before 5 years of age per woman - Gapminder (2017)                                                                                                                            1              12792         195
owid       owid                                        Children that survived past 5 years of age per woman - Gapminder (2017)                                                                                                                          1              12792         195
owid       owid                                        China share of World Poverty - World Bank (WDI) (2017)                                                                                                                                           1                 28           1
owid       owid                                        City populations (1950-2035) - UN Urbanization Prospects (2018)                                                                                                                                  1                540          30
owid       owid                                        Clark, Fleche & Senik - Happiness Inequality                                                                                                                                                     1                 51          17
owid       owid                                        Climate change impacts                                                                                                                                                                           1              19886           4
owid       owid                                        Climate impact on crop yields (Ray et al. 2019)                                                                                                                                                  1                913         127
owid       owid                                        Coal Exit Timeline (Beyond Coal)                                                                                                                                                                 1                 38          38
owid       owid                                        Coal output and employment in UK - BEIS (2020)                                                                                                                                                   1               1298           1
owid       owid                                        Coal production - The SHIFT Project                                                                                                                                                              1               6270          88
owid       owid                                        Colonial Regimes - Minner and Wim (2006)                                                                                                                                                         1              15186         128
owid       owid                                        Communicable Diseases - Disability Adjusted Life Years (WHO (2015)) (split)                                                                                                                      1                344         172
owid       owid                                        Conflict and Terrorism deaths - OWID based on IHME & GTD                                                                                                                                         1               8119         206
owid       owid                                        Conflict and terrorism deaths - IHME (2017)                                                                                                                                                      1               5319         197
owid       owid                                        Conflict deaths by country - UCDP (2019)                                                                                                                                                         1               1606         120
owid       owid                                        Conflict deaths - UCDP Georeferenced Event Data (2019)                                                                                                                                           1              10212         178
owid       owid                                        Congenital birth defects by anomaly - GBD (2017)                                                                                                                                                 1             109872         218
owid       owid                                        Consumer expenditure on food - USDA (2017)                                                                                                                                                       1                516          86
owid       owid                                        Consumption shares in selected non-essential products - World Bank Global Consumption Database                                                                                                   1                360          90
owid       owid                                        Consumption vs. production-based CO2 emissions shares (based on GCP & UN)                                                                                                                        1                585         228
owid       owid                                        Coral bleaching events by ENSO phase (Hughes et al. 2018)                                                                                                                                        1                222           3
owid       owid                                        Corporal Punishment in Schools - Longitudinal Evidence from Ethiopia, India, Peru and Vietnam (UNICEF 2015)                                                                                      1                  8           4
owid       owid                                        Corporate income tax (CIT) - Corporate Tax Statistics Database (CTSD) - OECD (2019)                                                                                                              1               1786          94
owid       owid                                        Corporate tax revenue - ICTD UNU-WIDER GRD (2019)                                                                                                                                                1               7676         169
owid       owid                                        Corruption Perception Index - Transparency International (2018)                                                                                                                                  1               1229         180
owid       owid                                        Countries Continents                                                                                                                                                                             1                285         285
owid       owid                                        Country programmable aid (CPA) from 2000-2019 (OECD, 2018)                                                                                                                                       1               2903         147
owid       owid                                        Country-level land precipitation - Delaware                                                                                                                                                      1              20815         181
owid       owid                                        Cross-country literacy rates - World Bank, CIA World Factbook, and other sources                                                                                                                 1               1423         256
owid       owid                                        Crude Birth and Death Rates (per 1,000), England and Wales 1541-2015 - Wrigley and Schofield, Mitchell, UK ONS                                                                                   1                438           1
owid       owid                                        Crude Oil Consumption vs. Price - BP Statistics (2016)                                                                                                                                           1                102           1
owid       owid                                        Crude divorce rate (OWID based on UN, OECD, Eurostat and other sources)                                                                                                                          1               2819         167
owid       owid                                        Crude marriage rate (OWID based on UN, OECD, Eurostat and other sources)                                                                                                                         1               3251         183
owid       owid                                        Cumulative share of marriages ending in divorce (England and Wales, UK ONS)                                                                                                                      1               1539          54
owid       owid                                        Current GDP (British pounds) - Fouquin and Hugot (CEPII 2016)                                                                                                                                    1              14020         211
owid       owid                                        D_Figure1.1a_country_standardized                                                                                                                                                                1               4480           5
owid       owid                                        Daily CO2 emissions (Carbon Monitor)                                                                                                                                                             1              92414          14
owid       owid                                        Daily caloric supply per capita -  FAO (2017) & Various historical sources                                                                                                                       1               9551         192
owid       owid                                        Daily fat supply- FAO (2017)                                                                                                                                                                     1               9034         180
owid       owid                                        Daily hours spent with digital media per adult user, US (BOND Internet Trends (2019))                                                                                                            1                 33           1
owid       owid                                        Daily protein supply - FAO (2017)                                                                                                                                                                1              27370         184
owid       owid                                        Days and hours of work in Old and New Worlds - Huberman and Minns (2007)                                                                                                                         1                374          19
