# colnames: provider,real_provider,dataset,max_variables,nb_sobservations,max_scope
# width: 11,44,181,16,19,12
provider   real_provider                               dataset                                                                                                                                                                              max_variables   nb_sobservations   max_scope   
owid       gbd_cause                                   Eating disorders                                                                                                                                                                                 1              58212         231
owid       gbd_cause                                   Encephalitis                                                                                                                                                                                     1              32340         231
owid       gbd_cause                                   Environmental heat and cold exposure                                                                                                                                                             1              45276         231
owid       gbd_cause                                   Esophageal cancer                                                                                                                                                                                1              19404         231
owid       gbd_cause                                   Exposure to forces of nature                                                                                                                                                                     1              64680         231
owid       gbd_cause                                   Extensively drug-resistant HIV/AIDS - Tuberculosis                                                                                                                                               1               6468         231
owid       gbd_cause                                   Falls                                                                                                                                                                                            1               6468         231
owid       gbd_cause                                   Fire, heat, and hot substances                                                                                                                                                                   1              97020         231
owid       gbd_cause                                   Gallbladder and biliary diseases                                                                                                                                                                 1               6468         231
owid       gbd_cause                                   Gallbladder and biliary tract cancer                                                                                                                                                             1              19404         231
owid       gbd_cause                                   H influenzae type B meningitis                                                                                                                                                                   1               6468         231
owid       gbd_cause                                   HIV/AIDS                                                                                                                                                                                         1              97020         231
owid       gbd_cause                                   HIV/AIDS and tuberculosis                                                                                                                                                                        1              12312         228
owid       gbd_cause                                   HIV/AIDS resulting in other diseases                                                                                                                                                             1               6468         231
owid       gbd_cause                                   Hepatitis                                                                                                                                                                                        1              58212         231
owid       gbd_cause                                   Hepatitis B                                                                                                                                                                                      1               6468         231
owid       gbd_cause                                   Hepatitis C                                                                                                                                                                                      1               6468         231
owid       gbd_cause                                   Hodgkin lymphoma                                                                                                                                                                                 1               6468         231
owid       gbd_cause                                   Indirect maternal deaths                                                                                                                                                                         1               6468         231
owid       gbd_cause                                   Injuries                                                                                                                                                                                         1              64680         231
owid       gbd_cause                                   Interpersonal violence                                                                                                                                                                           1             103488         231
owid       gbd_cause                                   Intestinal infectious diseases                                                                                                                                                                   1              12312         228
owid       gbd_cause                                   Invasive Non-typhoidal Salmonella (iNTS)                                                                                                                                                         1               6468         231
owid       gbd_cause                                   Kidney cancer                                                                                                                                                                                    1              19404         231
owid       gbd_cause                                   Larynx cancer                                                                                                                                                                                    1              19404         231
owid       gbd_cause                                   Late maternal deaths                                                                                                                                                                             1               6468         231
owid       gbd_cause                                   Leukemia                                                                                                                                                                                         1               6468         231
owid       gbd_cause                                   Lip and oral cavity cancer                                                                                                                                                                       1              19404         231
owid       gbd_cause                                   Liver cancer                                                                                                                                                                                     1              19404         231
owid       gbd_cause                                   Lower respiratory infections                                                                                                                                                                     1              84084         231
owid       gbd_cause                                   Major depressive disorder                                                                                                                                                                        1               6468         231
owid       gbd_cause                                   Malaria                                                                                                                                                                                          1              90552         231
owid       gbd_cause                                   Malignant skin melanoma                                                                                                                                                                          1               6468         231
owid       gbd_cause                                   Maternal abortion, miscarriage, and ectopic pregnancy                                                                                                                                            1               6156         228
owid       gbd_cause                                   Maternal disorders                                                                                                                                                                               1              25872         231
owid       gbd_cause                                   Maternal hemorrhage                                                                                                                                                                              1               6468         231
